http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/area
"Baxter House (Edom, Virginia)",6070.28
"Beck House (Sunbury, Pennsylvania)",4046.86
Bell Farmhouse,5665.6
"Bellair (New Bern, North Carolina)",32374.9
Bellemont Mill Village Historic District,39659.2
Benjamin Gordon Baldwin House,5665.6
Benjamin Holmes House,728434.0
Benjamin Jacobs House,18615.5
Benjamin W. Davidson House,38445.1
Beth Salem Presbyterian Church,4046.86
"Bethany Congregational Church (Thomasville, Georgia)",4856.23
"Boylan Heights (Raleigh, North Carolina)",331842.0
Brown-Cowles House and Cowles Law Office,5260.91
Bryan-Bell Farm,9.10947e+06
"Buffalo Presbyterian Church (Lewisburg, Pennsylvania)",16187.4
Buffalo Presbyterian Church and Cemeteries,51799.8
Buffalo Presbyterian Church and Cemetery,32374.9
Burke County Courthouse (North Carolina),12140.6
Burke County Courthouse (North Dakota),8498.4
"Burlington (Aylett, Virginia)",3.16464e+06
"Bush House (Inman, South Carolina)",26709.3
Byers-Lyons House,2023.43
"Caldwell County Courthouse (Kingston, Missouri)",40063.9
"Campbell Farm (Edinburg, Virginia)",360170.0
Cantonment Reno,2.58999e+06
Canty House,1618.74
Capt. Rodney J. Baxter House,4856.23
Carlton D. Wall House,20234.3
"Carroll Building (Norwich, Connecticut)",404.686
"Carter Hill (Lebanon, Virginia)",996336.0
"Centenary Methodist Church (New Bern, North Carolina)",6070.28
"Centenary Methodist Church (Rowland, North Carolina)",7284.34
"Century House (Ridgeway, South Carolina)",7689.03
"Chapel of the Cross (Mannsdale, Mississippi)",40468.6
Charles A. Jordan House,4046.86
Charles H. Baldwin House,8093.71
Charles King House,8093.71
"Cherry Street Historic District (Helena-West Helena, Arkansas)",70820.0
"Chesapeake and Ohio Depot (Marlinton, West Virginia)",4046.86
"Chesapeake and Ohio Depot (Pikeville, Kentucky)",1537.81
Chester Masonic Lodge and Community Building,3642.17
"City Cemetery (Raleigh, North Carolina)",30351.4
Clarke-Hobbs-Davidson House,1618.74
"Clover Hill (Brookeville, Maryland)",48967.0
Cobleskill Historic District,374334.0
Col. Charles Codman Estate,13718.8
Col. James Graham House,4046.86
"Community Building (Princeton, Iowa)",4046.86
"Community Building (Salisbury, North Carolina)",2832.8
"Community Building (Ticonderoga, New York)",11735.9
Cook County Courthouse (Georgia),8093.71
"Cook House (Parkersburg, West Virginia)",2023.43
"Cool Springs (Camden, South Carolina)",64749.7
"Cool Springs (Carvers Creek, North Carolina)",40468.6
"Cooper House (Kenton, Delaware)",4046.86
"Cox House (Franklin, Tennessee)",23471.8
Daniel and Clarissa Baldwin House,78063.9
Daniel and Mary Lee House,8093.71
"Davenport House (Creswell, North Carolina)",2023.43
"Davenport House (Greer, South Carolina)",10117.1
David Scott House,4451.54
David and Drusilla Baxter House,2832.8
"Davidson House (Troutman, North Carolina)",35612.3
De Gray House,10926.5
Deacon John Davenport House,15378.1
Dennis J. Murphy House at Ogden Farm,9307.77
"Depot Historic District (Marion, North Carolina)",9307.77
"Depot Historic District (Raleigh, North Carolina)",84984.0
Dixon-Leftwich-Murphy House,2023.43
"Downtown North Historic District (Hartford, Connecticut)",76890.3
Dr. Arch Jordan House,191012.0
Dr. Lawrence Branch Young House,8903.08
"Eagle Tavern (New Hope, Pennsylvania)",2023.43
"Easton Historic District (Easton, Pennsylvania)",433014.0
"Ebenezer Presbyterian Church (Keene, Kentucky)",10926.5
Edward H. Swan House,16187.4
Eli Morse Farm,916613.0
Elias Hand House,7689.03
Elkridge Furnace Complex,24281.1
"Exchange Building (Newark, Delaware)",809.371
Ezikial Perry House,50181.0
"Fairfield Historic District (Fairfield, Pennsylvania)",685942.0
"Fairview Presbyterian Church (Fountain Inn, South Carolina)",24281.1
Fernside-Vacation House for Working Girls,27235.3
Fetter's Mill Village Historic District,28328.0
"Fire Station No. 10 (Birmingham, Alabama)",404.686
"Fire Station No. 11 (Birmingham, Alabama)",404.686
"Fire Station No. 12 (Birmingham, Alabama)",1214.06
"Fire Station No. 15 (Birmingham, Alabama)",404.686
"Fire Station No. 16 (Birmingham, Alabama)",1214.06
"Fire Station No. 19 (Birmingham, Alabama)",1214.06
"Fire Station No. 22 (Birmingham, Alabama)",404.686
"Fire Station No. 3 (Birmingham, Alabama)",404.686
"Fire Station No. 5 (Knoxville, Tennessee)",1214.06
"Fire Station No. 6 (Birmingham, Alabama)",404.686
First Columbia County Courthouse,6070.28
First Columbia County Courthouse,6070.28
"First Parish Church (Dover, New Hampshire)",2023.43
First Parish Church Site-Dover Point,1618.74
"Fort Hill (Burlington, West Virginia)",971246.0
"Fox House (Lexington, South Carolina)",10926.5
Francis H. Holmes House,4046.86
"Gaither House (Harmony, North Carolina)",14164.0
"Gaither House (Morganton, North Carolina)",2023.43
Gardner Cox House,5260.91
Gen. George Cowles House,22257.7
Gen. Joshua Barnes House,15782.7
George Hays House,34398.3
"Ghent Historic District (New Bern, North Carolina)",271139.0
Glen Royall Mill Village Historic District,182109.0
Glencoe Mill Village Historic District,424920.0
Gordon-Baughan-Warren House,6879.66
Graves-Stewart House,2832.8
H. G. W. Mayberry House,8903.08
"Hager House (South Bend, Indiana)",4046.86
Halifax County Courthouse (Virginia),8093.71
Hamilton Mill Village Historic District,121406.0
Hanford Davenport House,10926.5
"Harrison House (Centerville, Pennsylvania)",4046.86
"Harrison House (Franklin, Tennessee)",36421.7
Henry-Jordan House,1214.06
Henry Cooper House,4046.86
Henry H. Mayberry House,105218.0
Henry P. Gray House,4046.86
Henry Turner House and Caldwell-Turner Mill Site,52609.1
Hersey-Duncan House,7284.34
Hewson Cox House,29542.1
Hildreth-Robbins House,5341.85
Holland-Duncan House,8093.71
Hopewell Presbyterian Church and Cemetery,55846.6
Hopewell Presbyterian Church and Hopewell Cemetery,23067.1
Horace and Grace Bush House,8093.71
"Howard County Courthouse (St. Paul, Nebraska)",8093.71
Howland Mill Village Historic District,40063.9
"Hunstanton (Winnsboro, South Carolina)",5665.6
"Imperial Hotel (Greenville, South Carolina)",2428.11
Inness-Fitts House and Studio/Barn,4046.86
Isaac King House and Barn,20639.0
J. G. Edwards House,4451.54
"Jackson Historic District (Jackson, North Carolina)",445154.0
Jacob Ford House,28328.0
Jacob P. Perry House,20234.3
"James Brooks House (Dayton, Ohio)",4046.86
"James Brown House (Riverdale, Iowa)",23471.8
James Ford House,8093.71
James Fox House,30351.4
James Gamble House,4046.86
James H. and Cynthia Koontz House,7810.43
Jehu Reed House,20234.3
John Cook House,9712.46
John Eben Young House,404.686
"John Gray House (Port Matilda, Pennsylvania)",24281.1
John N. Griffin House,4046.86
"John Young House (Geetingsville, Indiana)",4046.86
"Jordan House (Windsor, North Carolina)",32374.9
Joseph D. Lyons House,57465.4
Joseph Jordan House,607028.0
Joseph Young House,25899.9
Josiah Bronson House,12140.6
Josiah Cowles House,4451.54
Juan Antonio Garcia House,4046.86
"Lancaster Block (Portland, Maine)",2023.43
レーン・ハウス (マーサーズバーグ),4046.86
"Lane House (Mercersburg, Pennsylvania)",4046.86
"Laurelwood (Columbia, South Carolina)",5665.6
Lebbeus Ford House,38445.1
Lee-Throckmorton-McDonald House,21853.0
"Lexington Historic District (Lexington, Virginia)",2.42811e+06
"Liberty Hill School (Liberty Hill, Tennessee)",4451.54
Lincoln Institute (Kentucky),88221.5
"Linden House (Marietta, Pennsylvania)",1214.06
"Long Meadow (Harrisonburg, Virginia)",167540.0
"Long Meadow (Surgoinsville, Tennessee)",24281.1
Lucius and Maria Clinton Lane House,16592.1
"Main Hall, Randolph-Macon Women's College",24281.1
Maj. David Graham House,84984.0
Mammoth Cave Baptist Church and Cemetery,6070.28
Mary A. Wolfe House,4046.86
"McMillan House (Latta, South Carolina)",2023.43
Mecklenburg County Courthouse (North Carolina),12140.6
Mecklenburg County Courthouse (Virginia),8093.71
"Middlesex County Courthouse (Saluda, Virginia)",8093.71
Mistletoe Villa,9955.27
"Morse Farm (Moravia, New York)",40468.6
Moses Ross House,18210.9
Mrs. B.F. Williamson House,5260.91
"Myers House (Martinsburg, West Virginia)",4046.86
Nelson Avenue-Fort Hill Historic District,121406.0
Newton Jordan House,4046.86
Nicholas Tate Perkins House,13759.3
North Anderson Historic District,351672.0
"North Cherry Street Historic District (Kernersville, North Carolina)",14164.0
Nowell-Mayerburg-Oliver House,2023.43
"Old Brick Church (Bacon's Castle, Virginia)",7689.03
"Old Davidson County Courthouse (Lexington, North Carolina)",2023.43
"Old Market Building (Georgetown, South Carolina)",404.686
"Old Stone Tavern (Atkins, Virginia)",1214.06
"Old Stone Tavern (Little Creek, Delaware)",8093.71
"Old Stone Tavern (Moorefield, West Virginia)",1214.06
Orion Clemens House,809.371
Oskaloosa City Square Commercial Historic District,39659.2
Owen-Cox House,21043.7
Pearl Mill Village Historic District,25495.2
"Perkins House (Newton, North Carolina)",36421.7
Perry and Agnes Wadsworth Fitzgerald House,17806.2
"Pine Hall (Raleigh, North Carolina)",21043.7
"Pleasant Valley School (Stillwater, Oklahoma)",6070.28
"Presbyterian Church (Bellevue, Nebraska)",2023.43
"Presbyterian Manse (Edisto Island, South Carolina)",4046.86
"Presbyterian Manse (Jefferson, Texas)",0.0
Priscilla Strode Turner House,28328.0
"Pugh House (Morrisville, North Carolina)",1011.71
"Pulaski County Courthouse (Pulaski, Virginia)",4046.86
"Reid House (Atlanta, Georgia)",3237.49
"Reid House (Pittsboro, North Carolina)",2023.43
Richard Cox House,6879.66
"Richlands Historic District (Richlands, North Carolina)",194249.0
"Riddick House (Como, North Carolina)",2023.43
Robert Young House,3237.49
"Rockland Historic District (Brooklandville, Maryland)",97124.6
"Salisbury Plantation (Woodville, Mississippi)",4046.86
Samuel Brooks House,5260.91
"Samuel Brooks House (Cornwall, New York)",5260.91
Samuel Cobb House,2023.43
"Scott House (Kingstree, South Carolina)",3237.49
Sen. John Holmes House,4046.86
"Shaw Mansion (New London, Connecticut)",8093.71
"Shelton House (Waynesville, North Carolina)",34398.3
Shirk-Edwards House,6070.28
Smith-Duncan House and Eastman Barn,0.0
South Front Street Historic District,40063.9
"South Ward School (Bellefonte, Pennsylvania)",2023.43
"Springfield Plantation House (Fort Mill, South Carolina)",10926.5
"St. Francis Xavier Church (Missoula, Montana)",2023.43
Церковь Святого Франциска Ксаверия (Паркерсберг),3237.49
"St. Francis Xavier Church (Parkersburg, West Virginia)",3237.49
"St. John Baptist Church (Lecompte, Louisiana)",809.371
"St. Joseph's Episcopal Church (Fayetteville, North Carolina)",8093.71
"St. Paul's Methodist Church (Little Rock, South Carolina)",4046.86
St. Paul Baptist Church and Cemetery,7689.03
"St. Vincent de Paul Church (Pontiac, Michigan)",8093.71
"Stevenson House (New Bern, North Carolina)",2023.43
Stewart House and Howard–Stewart Family Cemetery,16996.8
Stokes-Lee House,1214.06
Studabaker-Scott House and Beehive School,0.0
"Sullivan House (Laurens, South Carolina)",6070.28
Thomas Guy House,101171.0
"Thomas Scott House (Coatesville, Pennsylvania)",2023.43
"Thomas Scott House (Greensboro, North Carolina)",79318.4
"Thunderbird Lodge (Rose Valley, Pennsylvania)",6474.97
Thunise & Richard Cooper House,1214.06
Timothy Reed House,6070.28
"Town Point (Dover, Delaware)",4046.86
Tunis R. Cooper House,37231.1
Union Mill Complex,16187.4
Van Reyper-Bond House,5665.6
Vaucluse Mill Village Historic District,809371.0
Walter Hand House,20234.3
Walter Hand House,20234.3
"Watkins House (Keysville, Virginia)",61107.5
Watson-Sanders House,48562.3
"West Commerce Street Historic District (Aberdeen, Mississippi)",202343.0
Whitelaw Reid House,24281.1
Whitman-Cobb House,22257.7
Wilks Brooks House,2832.8
William Apollos James House,4046.86
"William Cook House (Mebane, North Carolina)",6070.28
William Friend Young House,5260.91
William H. & William S. Edwards House,32374.9
William H. Harrison School,8093.71
William H. Lee House,3439.83
"William Jennings Bryan House (Asheville, North Carolina)",2428.11
"William King House (Franklin, Tennessee)",7284.34
William R. Griffith House,1214.06
William Stoutenburgh House,2023.43
"Williamson House (Louisburg, North Carolina)",18210.9
Witt-Champe-Myers House,12140.6
Women's Christian Temperance Union Community Building,1214.06
Woodward Houses,1618.74
"York Historic District (York, Maine)",6.87966e+06
"Zion Evangelical Lutheran Church (Petoskey, Michigan)",1214.06
Zion Evangelical Lutheran Church Cemetery,12140.6
Aaron Barlow House,8093.71
"Aberdeen Historic District (Aberdeen, South Dakota)",117359.0
Abram Glenn House,45324.8
Ackerman-Boyd House,12140.6
Adam Hilton House,16996.8
"African Church (St. Charles, Missouri)",404.686
Ailsa Farms,809.371
Almshouse Farm at Machipongo,72438.7
Amasa Day House,14164.0
Amos Wood House,75069.2
Andrew Jackson School (Philadelphia),4046.86
Andrew Peterson Farmstead,34398.3
Angell-Brewster House,4046.86
Arthur Alden House,809.371
"Belmont Historic District (Belmont, Ohio)",303514.0
Benjamin F. Greene House,4046.86
Black Horse Tavern-Bellvue Hotel and Office,16996.8
"Black Horse Tavern (Gettysburg, Pennsylvania)",2023.43
"Black Horse Tavern (Old Saybrook, Connecticut)",5260.91
Boggs Lumber and Hardware Building,2023.43
"Borden Farm (Portsmouth, Rhode Island)",25090.5
"Bowman Hotel (Pendleton, Oregon)",809.371
Broadway Market Building,404.686
Buffalo River State Park (Arkansas),141640.0
"Butler House (Oxon Hill, Maryland)",38040.5
"Butler House (West Chester, Pennsylvania)",1618.74
Campbell County Courthouse (Virginia),4046.86
Capron-Phillips House,1618.74
Caroline County Courthouse (Virginia),36421.7
"Cedar Ridge (Disputanta, Virginia)",12140.6
"Central Street Historic District (Millville, Massachusetts)",202343.0
"Chamberlin House (Concord, New Hampshire)",1214.06
Charles Daniels House,4046.86
Charles M. Pratt House,21853.0
Charles W. Merrill House,3237.49
"Charles Whitaker House (Davenport, Iowa)",4046.86
Cherokee State Park (Kentucky),1.21406e+06
Christopher Rhodes Greene House,6070.28
Clark-Keith House,4046.86
Clark-Pratt House,4046.86
Clough H. Rice House,2832.8
Cook-Sellers House,40063.9
Cox-Morton House,12545.3
"Crossways (Aiken, South Carolina)",8093.71
"Dawson County Courthouse (Lexington, Nebraska)",8093.71
"Day House (Hartford, Connecticut)",8093.71
Denny P. Hadley House,14973.4
Dorchester-Milton Lower Mills Industrial District,20234.3
Doyle Hardware Building,2023.43
Dr. Ambrose Pratt House,12140.6
Dr. Amos Holbrook House,20234.3
Dr. John Glenn House,18615.5
Dr. William Henderson House,1214.06
"Dudley House (Ventura, California)",36421.7
Duluth Civic Center Historic District,42492.0
"Edward Dodge House (Cambridge, Massachusetts)",8093.71
"Elm Court (Butler, Pennsylvania)",38040.5
Elmer Harlow House,2023.43
Elson-Dudley House,464.515
Emanuel Alston House,30351.4
Enoch Roberts House,1618.74
Erwin Library and Pratt House,2023.43
Evans-Russell House,6070.28
"Fancy Farm (Bedford, Virginia)",60702.8
"Farmington Historic District (Farmington, Michigan)",141640.0
"Farmington Historic District (Farmington, North Carolina)",1.31118e+06
"First Church Parsonage (Windsor, Connecticut)",4451.54
Foreman-Roberts House,1618.74
"Fort Randolph (Pineville, Louisiana)",1214.06
Frank A. Palen House,809.371
"Franklin Square Historic District (Oswego, New York)",141640.0
Frederick and Della Dunn House,809.371
Fulkerson-Hilton House,343983.0
George G. Mason House,1214.06
"George Trimble House (Mechanicsburg, Pennsylvania)",5665.6
George W. Morton House,12545.3
Gettysburg Armory,15782.7
"Grassdale (Trevilians, Virginia)",687966.0
"Greenacre (Farmington, Maine)",4046.86
"Greenville Commercial Historic District (Greenville, Pennsylvania)",38040.5
Gregson-Hadley House,2023.43
Griffis-Patton House,41277.9
Hadley House and Grist Mill,186965.0
Harry Merrill House,8093.71
Harry Wood House,4046.86
Hearthstone Castle,29137.4
Castillo Hearthstone,29137.4
Hearthstone Castle,29137.4
Hicklin Hearthstone,27923.3
"Hopewell School (Cedar Creek, Texas)",8093.71
Glenn Hugh House,890.308
Hugh Glenn House,890.308
Isham Day House,7689.03
J. K. Miller Homestead,28328.0
Jackson County Jail and Marshal's House,809.371
"James ""Squire"" Patton House",20234.3
James Butler House,3237.49
James Mason House and Farm,687966.0
"James Russell Lowell School (Philadelphia, Pennsylvania)",9712.46
Jedidiah Dudley House,4046.86
Jeff Davis County Courthouse (Texas),6070.28
"Jefferson School, Carver Recreation Center, and School Site",16187.4
"Jefferson School (Clifton Forge, Virginia)",4856.23
"Jenckes House (Jenckes Hill Road, Lincoln, Rhode Island)",4046.86
Jenkins' Town Lyceum Building,4451.54
John A. Mason House,36421.7
John C. Reeves House,9307.77
John Henry Welborn House,6070.28
John J. Lincoln House,10117.1
John M. Pierce House,24281.1
"John Mason House (Lexington, Massachusetts)",14973.4
John N. Peterson Farm,144877.0
John Sutton Hall,13238.7
John T. Daniels House,33184.2
"John Wood House (Huntington Station, New York)",12140.6
Jones-Bowman House,4046.86
Jones-Wright House,20234.3
Joseph Wood House,4856.23
Josephus Daniels House,12140.6
Judge Nathan S. Roberts House,14164.0
Kuster Mill,32374.9
"Levy House (Reno, Nevada)",1618.74
Little Red Schoolhouse (Brunswick),4046.86
"Little Red Schoolhouse (Brunswick, New York)",4046.86
"Little Red Schoolhouse (Florham Park, New Jersey)",4856.23
Loewenstein and Sons Hardware Building,404.686
Lyceum-The Circle Historic District,40468.6
Lyceum-The Circle Historic District,40468.6
"Lyceum (Alexandria, Virginia)",0.0
"Magnolia Grove (Iron Station, North Carolina)",64345.0
"Market Square Historic District (Buffalo, New York)",4775.29
Martin Farmstead,106837.0
"Mason House (Coal Run, Ohio)",1214.06
Mercer Union Meetinghouse,2023.43
"Mill House (Middleburg, Virginia)",193035.0
Millen-Schmidt House,4046.86
"Miller Homestead (Au Sable, New York)",323749.0
"Moore Hall (Phoenixville, Pennsylvania)",6070.28
Morton Morton House,22257.7
"Mount Auburn Cemetery (Baltimore, Maryland)",137593.0
Mount Hebron Cemetery and Gatehouse,227029.0
"Mount Zion Cemetery (Washington, D.C.)",12545.3
"Mount Zion Church (Decatur, Tennessee)",12140.6
"Mulberry Hill (Edenton, North Carolina)",24281.1
"Mulberry Hill (Lexington, Virginia)",31160.8
Mull Covered Bridge,4046.86
Mull Covered Bridge,4046.86
Mull House and Cemetery,8093.71
Nathaniel Conklin House,4046.86
Nelson H. Greene House,1214.06
"Newberry Historic District (Newberry, South Carolina)",8093.71
North Bank Depot Buildings,3480.3
North Union Street Historic District,531757.0
Northern River Street Historic District,8093.71
Northern River Street Historic District,8093.71
O. J. Daniels House,8093.71
"Old Courthouse (Newberry, South Carolina)",2023.43
"Old Fort House (Fort Edward, New York)",18210.9
Old Union Meetinghouse,4046.86
Oliver Rice House,17401.5
Otway Henderson House,809.371
"Oxford Historic District (Oxford, Pennsylvania)",2.58999e+06
"Oxford House (Grand Forks, North Dakota)",4046.86
Peleg Champlin House,12140.6
Peter A. Hilton House,97124.6
"Plaza Apartments (Philadelphia, Pennsylvania)",1618.74
Poughkeepsie Almshouse and City Infirmary,28328.0
"Pratt House (Elmira, New York)",4059.0
"Pratt House (Essex, Connecticut)",8498.4
"Randolph County Courthouse (Asheboro, North Carolina)",12545.3
Randolph County Courthouse and Jail,4046.86
"Rice House (Richmond, Virginia)",18210.9
"River Street Historic District (Wilkes-Barre, Pennsylvania)",772950.0
"Roberts House (Canonsburg, Pennsylvania)",809.371
"Roberts House (Mobile, Alabama)",5260.91
"Rose Glen (Sevierville, Tennessee)",32374.9
"Rosemary Hall (Greenwich, Connecticut)",72843.4
"Russell House (Bedford, Pennsylvania)",2023.43
"Russell House (Mountain Rest, South Carolina)",20234.3
Rutherford County Courthouse (Tennessee),24281.1
"Salem Methodist Church (Franklin, North Carolina)",3035.14
"Salem Methodist Church (Huntsboro, North Carolina)",32374.9
Salome Sellers House,2023.43
"Samuel Brown House (Roachdale, Indiana)",8093.71
Samuel S. Morton House,13759.3
"Sears House (Staunton, Virginia)",40063.9
"Sellers House (Pittsburgh, Pennsylvania)",8093.71
"Sherman County Courthouse (Loup City, Nebraska)",8093.71
"Sherman County Courthouse (Moro, Oregon)",5260.91
Shuford–Hoover House,12949.9
Smith H. Barlow House,4046.86
"South Junior High School (Grand Forks, North Dakota)",4046.86
South Side Market Building,4046.86
"Southworth House (Dryden, New York)",8093.71
St. Joseph's Roman Catholic Church Rectory and School,2832.8
"St. Mary's Roman Catholic Church Complex (Waltham, Massachusetts)",19424.9
Chiesa di San Paolo (Portsmouth),3237.49
"St. Paul's Catholic Church (Portsmouth, Virginia)",3237.49
"St. Paul's Parish Church (Brandywine, Maryland)",20234.3
"St. Peter's Catholic Church (Rensselaer, Missouri)",10117.1
"St. Thomas' Church (Upper Marlboro, Maryland)",76080.9
Stevenson Peters House,8093.71
Stonewall Jackson School (Virginia),2832.8
"Sunnyside Farm (Hamilton, Virginia)",141640.0
Superintendent's Residence at the Utah State Hospital,4046.86
Swetland-Pease House,5341.85
Swetland Homestead,6070.28
Swetland House,4046.86
"The Almshouse (Richmond, Virginia)",30351.4
"The Lawn (Nokesville, Virginia)",117359.0
Thomas Benton Hoover House,1517.57
"Thomas County Courthouse (Colby, Kansas)",8093.71
"Thompson Farm (London Britain Township, Pennsylvania)",40468.6
"Turkey Hill (Linthicum Heights, Maryland)",10117.1
Tyler Mowry House,12140.6
"Union Baptist Church (Hartford, Connecticut)",4046.86
"Union Episcopal Church (Claremont, New Hampshire)",24281.1
"Union Meetinghouse (East Montpelier, Vermont)",3237.49
"Union Methodist Episcopal Church (Philadelphia, Pennsylvania)",1618.74
"Union Street Historic District (Poughkeepsie, New York)",169968.0
"Union Street Historic District (Schenectady, New York)",263046.0
W. W. Hartwell House & Dependencies,7689.03
Wailuku Civic Center Historic District,161874.0
Walter Brewster House,8093.71
Walter Brewster House,8093.71
"Wesley Methodist Church (Anchorage, Kentucky)",52609.1
William Boyd House,4046.86
William D. Roberts House,2023.43
William Kauffman House,404.686
William Peters House,8903.08
William V. N. Barlow House,4046.86
William Wooden Wood House,6070.28
"Williamsburg Historic District (Williamsburg, Pennsylvania)",647497.0
"Woodlawn Farm (Jacksonville, Illinois)",24281.1
"Woodlawn Farm (Slate Hill, New York)",80937.1
"Woodrow Wilson Junior High School (Philadelphia, Pennsylvania)",8093.71
Zadock Pratt House,2023.43
Atalaya and Brookgreen Gardens,2.22982e+06
"Beaufort Historic District (Beaufort, South Carolina)",1.23024e+06
"Curtis House (Demopolis, Alabama)",1214.06
Foscue-Whitfield House,4046.86
Leinkauf Historic District,445154.0
Old Dauphin Way Historic District,3.09989e+06
Pitts' Folly,38849.8
"St. Stephen's AME Church (Sandusky, Ohio)",4046.86
William Barnwell House,16187.4
"Academy Street Historic District (Poughkeepsie, New York)",566560.0
"All Saints Church (Peterborough, New Hampshire)",6474.97
"Amis House (Rogersville, Tennessee)",32374.9
Andrew M. Cox Ranch Site,364217.0
"Assay Office (Boise, Idaho)",8093.71
Barton Academy,7284.34
Basilika St. Peter und Paul (Lewiston),4046.86
Basilique Saint-Pierre-et-Saint-Paul de Lewiston,4046.86
"Basilica of Saints Peter and Paul (Lewiston, Maine)",4046.86
Bear River Massacre Site,6.84323e+06
Bethlehem Waterworks,25090.5
Bishop Portier House,1618.74
Bishop Portier House,1618.74
Bogardus-DeWindt House,4046.86
Buckingham Friends Meeting House,157827.0
Cheesman Park (Denver),326581.0
"Cheesman Park, Denver",326581.0
Christian Science Pleasant View Home,194249.0
Clark Thread Company Historic District,52609.1
Cotton Theatre,4046.86
"Deke House (Ithaca, New York)",1618.74
Demopolis Town Square,16187.4
Faunsdale Plantation,52609.1
"Fernow Hall (Ithaca, New York)",2740.73
Grahamsville Historic District,80937.1
Great Sierra Wagon Road,433014.0
Guardian Bank Building,4046.86
Head House Square,40063.9
"Holy Fellowship Episcopal Church (Greenwood, South Dakota)",4046.86
Honey Hollow Watershed,2.63046e+06
Hoornbeek Store Complex,4046.86
Indian Creek Covered Bridge,4046.86
Jaite Mill Historic District,121406.0
Kreidersville Covered Bridge,404.686
Landward House,3237.49
Literary Hall,4046.86
Lukens Historic District,12140.6
Mauch Chunk Gravity Railroad,190202.0
モーク・チャンク・スイッチバック鉄道,190202.0
Mauch Chunk Switchback Railway,190202.0
New Market and Head House,8093.71
Peter C. DuBois House,16187.4
"Pressmen's Home, Tennessee",263046.0
Queen Anne Cottage and Coach Barn,37635.8
Stonewall Jackson Youth Development Center,308775.0
Ten Chimneys,242811.0
Thaddeus Hait Farm,574654.0
The Lembeck and Betz Eagle Brewing Company,10117.1
Washington Bottom Farm,1.01819e+06
Westmoreland County Courthouse,2023.43
Wharton Esherick Studio,22257.7
Abraham Hall,15782.7
Adams County Courthouse (Indiana),4046.86
Allemarinda and James Wyer House,6070.28
Athenæum (Das Deutsche Haus),4046.86
Ausable Club,28328.0
Azure Mountain Fire Observation Station,14973.4
Sinagoga B'nai Jeshurun,3642.17
B'nai Jeshurun (Manhattan),3642.17
Barrow Mansion,404.686
Bennett's Adventure,97124.6
Big Bottom Farm,20234.3
Brookefield of the Berrys,40468.6
Brown Shoe Company Factory,10117.1
"Buhl Building (Pittsburgh, Pennsylvania)",404.686
Calvert Hills Historic District,437060.0
Canada Hose Company Building,809.371
Central Troy Historic District,388498.0
Central Troy Historic District,388498.0
Chiricahua National Monument Historic Designed Landscape,4.04686e+07
Church Street Row,8093.71
Cobblestone Farmhouse at 1229 Birdsey Road,48562.3
Colorado Building,4046.86
Congregation Adath Israel Brith Sholom,4046.86
Cooperstown Historic District,1.6754e+06
Cross Roads Church,8093.71
Curtis-Shipley Farmstead,30351.4
Decatur Cemetery,234718.0
Decatur Waterworks,169968.0
Dorsey Hall,8093.71
Downtown Cohoes Historic District,141640.0
Dr. Hovey Everett House,611075.0
Elmira Heights Village Hall,809.371
Capilla Conmemorativa Evans,809.371
Evans Memorial Chapel,809.371
Fayette County Courthouse (Ohio),6070.28
Fort Lancaster,157827.0
Freetown Rosenwald School,5260.91
Garfield Place Historic District,80937.1
Garland Hill Historic District,40468.6
General Ice Cream Corporation Building,2023.43
George W. Baird House,4734.82
George Washington's Gristmill,27113.9
Green's Inheritance,121406.0
Hancock's Resolution,60702.8
Hardin County Courthouse (Ohio),8093.71
Heister House,4046.86
Henkel-Duke Mercantile Company Warehouse,1618.74
Hessian Barracks,16187.4
Hobson Block,4046.86
"Hope Cemetery (Worcester, Massachusetts)",679872.0
Housatonic River Railroad Bridge,4046.86
Hudson and Manhattan Railroad Powerhouse,7284.34
Hyattsville Historic District,2.53981e+06
"J. C. Penney Co. Warehouse Building (St. Louis, Missouri)",6879.66
James Drane House,20234.3
John Hand Building,2428.11
John Hand Building,2428.11
Kaufman-Straus,2023.43
Kip Homestead,3642.17
La Casa Alvarado,3237.49
Landmark Inn State Historic Site,20234.3
Lincoln Motor Company Plant,250905.0
Linthicum Heights Historic District,671778.0
Logan County Courthouse (Ohio),6070.28
Madison Civic Commercial District,198296.0
Mansfield Training School and Hospital,1.4164e+06
Marble Head,28328.0
Maynard Buehler House,371.612
McChord Field Historic District,72843.4
McPherson's Purchase,485623.0
Mead Johnson River-Rail-Truck Terminal and Warehouse,26304.6
Melwood Park,48562.3
Mercy Chapel at Mill Run,7284.34
Midland Terminal Railroad Roundhouse,13759.3
Mount Feake Cemetery,343983.0
Nallin Farm House,2023.43
Newtown-Stephensburg Historic District,263046.0
North Brentwood Historic District,202343.0
Olmstead Street Historic District,40468.6
Oxon Hill Manor,222577.0
Peterboro Land Office,404.686
Phillip Ackley Stanton House,1214.06
Phoenixville Historic District,1.20151e+06
Pierce County Courthouse (Wisconsin),10117.1
Portage Point Inn Complex,66773.1
Quarry Farm,1.03195e+06
Rockville Railroad Station,4046.86
Rood Candy Company Building,2428.11
Saint Paul's Vestry House,404.686
San Agustin de Laredo Historic District,1.21406e+06
San Dimas Hotel,2428.11
