http://dbpedia.org/ontology/Lighthouse,http://dbpedia.org/ontology/height
Faro Pendeen,17.0
Пиндинский маяк,17.0
Point Wilson Light,14.0208
Point Wilson Light,14.0208
Queen's Wharf Lighthouse,8.5
South Channel Pile Light,9.0
Toledo Harbor Light,21.0312
Vermilion Light,10.3632
Alligator Reef Light,41.4528
Amelia Island Light,19.5072
Farol de Amelia Island,19.5072
American Shoal Light,33.528
Anclote Keys Light,31.0896
كيب فلوريدا لايت,28.956
Cape Florida Light,28.956
Caro Cape Florida,28.956
Phare de Cape Florida,28.956
Cape Liptrap Lighthouse,9.75
Capo di Milazzo,34.0
Cedar Key Light,8.5344
Cliffy Island Lighthouse,12.0
Cockspur Island Light,14.0208
Crooked River Light,30.48
Dry Tortugas Light,47.8536
East Brother Light Station,14.6304
East Brother Island Light,14.6304
Phare d'East Brother Island,14.6304
Egmont Key Light,26.5176
Garden Key Light,21.336
Gasparilla Island Lights,13.4112
Gasparilla Island Lights,32.004
Granite Island Lighthouse,12.192
Mukilteo Light,11.5824
Mukilteo Light,11.5824
Ponce de Leon Inlet Light,53.34
Faro Ponce de León,53.34
Ponce de Leon Inlet Light,53.34
Raffles Lighthouse,29.0
Rebecca Shoal Light,20.1168
Sankaty Head Light,21.336
Sankaty Head Light,21.336
St. Johns River Light,24.6888
St Anthony's Lighthouse,19.0
Latarnia morska St Anthony,19.0
Маяк Святого Антония,19.0
Trevose Head Lighthouse,27.0
Latarnia morska Trevose Head,27.0
Тревосский маяк,27.0
St. Johns Light,20.1168
Algoma Light,14.6304
Ashland Harbor Breakwater Light,17.6784
Baileys Harbor Range Lights,6.4008
Baileys Harbor Range Lights,9.144
Cana Island Light,27.1272
Chambers Island Light,20.4216
Chequamegon Point Light,10.668
Devils Island Light,24.384
Galley Head Lighthouse,21.0
Gravelly Shoal Light,19.812
Ile Aux Galets Light,17.6784
Kenosha Light,16.764
Kewaunee Pierhead Light,13.1064
La Pointe Light,19.812
Manitowoc Breakwater Light,12.192
Michigan Island Light,35.9664
Outer Island Light,26.2128
Phare d’Eckmühl,64.9224
Phare d'Eckmühl,64.9224
Phare d'Eckmühl,64.9224
Pilot Island Light,12.4968
Sanibel Island Light,29.8704
Sherwood Point Light,11.2776
St. Helena Island Light,19.2024
St. Joseph Point Light,12.4968
St. Marks Light,19.812
Tarbat Ness Lighthouse,41.0
Tarbat Ness Lighthouse,41.0
Wisconsin Point Light,17.0688
Great Point Light,21.336
Great Point Light,21.336
Anacapa Island Light,16.764
Battery Point Light,13.716
Battery Point Lighthouse,13.716
Belle Isle Northeast Light,27.0
Bodkin Island Light,10.668
Browns Point Light,10.3632
Browns Point Light,10.3632
Burrows Island Light,10.3632
Burrows Island Light,10.3632
Cape Arago Light,13.4112
Cape Decision Light,22.86
Phare du cap Decision,22.86
Cape Disappointment Light,16.1544
Phare du cap Disappointment,16.1544
Cape Disappointment Light,16.1544
Cape Flattery Light,19.812
Cape Flattery Light,19.812
Farol do Cabo Flattery,19.812
Cape Hinchinbrook Light,20.4216
Phare du cap Hinchinbrook,20.4216
Cape St. Elias Light,16.764
Phare du cap St. Elias,16.764
セイントイライアス岬燈台,16.764
Cape Wrath Lighthouse,20.0
Cattle Point Light,10.3632
Cattle Point Light,10.3632
Delaware Breakwater East End Light,14.9352
Destruction Island Light,28.6512
Dofflemyer Point Light,9.144
Faro de Douglas Head,6.096
Douglas Head Lighthouse,6.096
Latarnia morska Douglas Head,6.096
Eldred Rock Light,17.0688
Phare d'Eldred Rock,17.0688
Five Finger Islands Light,20.7264
Phare des îles Five Finger,20.7264
Grays Harbor Light,32.6136
Guard Island Light,9.144
Phare de l'île Guard,9.144
Guard Island Light,9.144
Harbor of Refuge Light,23.1648
Kullens fyr,18.5
Kullen Lighthouse,18.5
Marrowstone Point Light,8.5344
Mary Island Light,18.5928
Phare de l'île Mary,18.5928
Morris Island Light,49.0728
New Dungeness Light,19.2024
Noup Head Lighthouse,24.0
Old Field Point Light,22.5552
Faro de Point Loma,14.0208
Old Point Loma Lighthouse,14.0208
Pachena Point Light,20.1168
Patos Island Light,11.5824
Point Retreat Light,7.62
Phare de la pointe Retreat,7.62
Point Roberts Light,7.62
Point Robinson Light,11.5824
Point Sherman Light,12.8016
Phare de la pointe Sherman,12.8016
Queenscliff High Light,18.0
Sheringham Point Light,19.5
South Haven Light,10.668
Turn Point Light,6.096
Whitestone Point Light,6.096
Alnes fyr,26.5
Alnes Lighthouse,26.5
Phare d'Alnes,26.5
Vuurtoren van Alnes,26.5
Coquille River Light,12.192
Crown Point Light,16.764
Crown Point Light,16.764
Highland Light,20.1168
Highland Light,20.1168
ハイランド灯台,20.1168
Ona fyr,14.7
Ona Lighthouse,14.7
Port Austin Light,18.288
Storholmen fyr,22.0
Storholmen Lighthouse,22.0
Sturgeon Point Light,21.6408
Ulla fyr,10.5
Ulla Lighthouse,10.5
Au Sable Light,26.5176
California-Leuchtturm,30.0
Faro California,30.0
California Lighthouse,30.0
カリフォルニア灯台,30.0
Vuurtoren California,30.0
Калифорнийский маяк,30.0
Cape Charles Light,58.2168
Cape Egmont Lighthouse,20.0
Cape Egmont Lighthouse,20.0
Copper Harbor Light,12.8016
Cuvier Island Lighthouse,15.0
Phare de l'île Cuvier,15.0
Cuvier Island Lighthouse,15.0
キュビエ島燈台,15.0
Diamond Head Lighthouse,17.3736
East Cape Lighthouse,15.0
East Cape Lighthouse,15.0
Finns Point Range Light,35.052
Grotto Point Light,7.9248
Hawkins Point Light,10.3632
Kevich Light,12.192
Leading Point Light,10.3632
Faro Les Éclaireurs,11.0
Faro Les Éclaireurs,11.0
Phare Les Éclaireurs,11.0
Les Eclaireurs Lighthouse,11.0
火地群島燈塔,11.0
Manistee Pierhead lights,11.8872
Manning Memorial Light,11.5824
Menominee Pier Light,10.3632
Michigan City East Light,14.9352
Milwaukee Breakwater Light,16.1544
Milwaukee Pierhead Light,12.4968
Muskegon Breakwater Light,16.1544
Muskegon Pier Light,14.6304
Neenah Light,14.9352
New Point Comfort Light,17.6784
Old Michigan City Light,12.192
Old Point Comfort Light,17.6784
Pages Rock Light,13.1064
Portsmouth Harbor Light,14.6304
Portsmouth Harbor Light,14.6304
West Chop Light,13.716
West Chop Light,13.716
Clay Island Light,10.9728
Fog Point Light,12.192
Fort Canning Lighthouse,24.3
Great Shoals Light,11.2776
Janes Island Light,11.5824
Lazaretto Point Light,9.4488
Bjørnøy Lighthouse,7.6
Duluth South Breakwater Inner Light,21.336
Grays Reef Light,19.812
Grytøy Lighthouse,10.5
Homborsund Lighthouse,20.1
Faro de Keri,31.0
Vuurtoren van Keri,31.0
Latarnia morska Keri,31.0
Маяк Кери,31.0
Keri Lighthouse,31.0
Kidston Island Lighthouse,14.5
Faro de Kribi,15.0
Kribi lighthouse,15.0
Phare de Low Point,22.0
Low Point Lighthouse,22.0
Minnesota Point Light,15.24
Nyholmen Lighthouse,7.4
Poverty Island Light Station,19.812
Røværsholmen Lighthouse,15.5
South Gare Lighthouse,13.1064
Stavseng Lighthouse,17.0
Tennholmen Lighthouse,14.4
Faro Monumental de La Serena,25.0
Phare Monumental La Serena,25.0
Lighthouse of la Serena,25.0
Faro Cabo Carranza,18.8
Carranza Lighthouse,18.8
Faro Cabo San Pablo,1.8288
Cape San Pablo Lighthouse,1.8288
Faro de Punta Harrison,26.0
Harrison Point Lighthouse,26.0
Aransas Pass Light Station,20.7264
Barberyn Lighthouse,34.0
Brockton Point Lighthouse,105.0
Cape Mudge Lighthouse,12.0
東莒島燈塔,19.5
Dongquan Lighthouse,19.5
芳苑燈塔,37.4
Fangyuan Lighthouse,37.4
Fornæs Lighthouse,27.0
Heugh lighthouse,16.5
Farol de São Miguel-o-Anjo,8.0
Lighthouse of São Miguel-o-Anjo,8.0
Punta Jandía Lighthouse,19.0
七美嶼燈塔,8.3
Qimei Lighthouse,8.3
Юодкрантский маяк,20.0
Juodkrantė Lighthouse,20.0
Liepāja Lighthouse,33.0
Mauger Caye Light,19.0
Mērsrags Lighthouse,5.7912
Нидский маяк,27.0
Nida Lighthouse,27.0
Ovisi Lighthouse,33.0
Pape Lighthouse,22.0
Пярвалкский маяк,14.0
Pervalka Lighthouse,14.0
Puerto Morelos Lighthouse,14.0
Slītere Lighthouse,24.0
Užava Lighthouse,19.0
Ventspils Lighthouse,11.0
Ainaži Lighthouse,5.4864
Latarnia morska Akmeņrags,11.5824
Akmenrags Lighthouse,11.5824
Czołpino Lighthouse,25.2
Latarnia Morska Darłowo,21.0
Darłowo Lighthouse,21.0
Даугавгривский маяк,10.668
Daugavgrīva Lighthouse,10.668
Farol de D. Amélia,14.0
Farol de D. Amélia,14.0
Latarnia Morska Gąski,49.8
Gąski Lighthouse,49.8
Jarosławiec Lighthouse,33.3
Latarnia Morska Jastarnia,17.0
Jastarnia Lighthouse,17.0
Latarnia Morska Kołobrzeg,26.0
Kołobrzeg Lighthouse,26.0
Latarnia morska Narva-Jõesuu,30.0
Narva-Jõesuu Lighthouse,30.0
Niechorze Lighthouse,45.0
Latarnia morska Osmussaare,10.668
Osmussaare Lighthouse,10.668
Port Północny Lighthouse,61.0
Rozewie Lighthouse,32.7
Stilo Lighthouse,33.4
Ustka Lighthouse,19.5
Lighthouse of Ponta Negra,3.0
Latarnia morska Abruka,36.0
Abruka Rear Lighthouse,36.0
Latarnia morska Anseküla,31.0
Anseküla Lighthouse,31.0
Brothers Islands Lighthouse,31.0
Farol de D. Maria Pia,21.0
Farol de D. Maria Pia,21.0
Glosholm lighthouse,9.0
Haulbowline Lighthouse,34.0
Latarnia morska Juminda,40.0
Juminda Lighthouse,40.0
Latarnia morska Kaavi,15.0
Kaavi Lighthouse,15.0
Kadalur Point Lighthouse,34.0
Kaliakra Lighthouse,8.0
Latarnia morska Kihnu,28.0
Kihnu Lighthouse,28.0
Latarnia morska Kübassaare,18.0
Kübassaare Lighthouse,18.0
Latarnia morska Laidunina,24.0
Laidunina Lighthouse,24.0
Latarnia morska Letipea,15.0
Letipea Lighthouse,15.0
Farol da Ponta do Carapacho,14.0
Lighthouse of Carapacho,14.0
Fanale di Livorno,53.0
Livorno Lighthouse (Fanale dei Pisani),53.0
Mehikoorma Lighthouse,15.0
Tillamook Rock Light,18.8976
Braddock Point Light,15.24
Cold Spring Harbor Light,10.668
Currituck Beach Light,49.3776
Farol de Currituck Beach,49.3776
Маяк Кёрритак-Бич,49.3776
Fastnet Rock,54.0
Fastnet Rock,54.0
Fastnet Rock,54.0
Fastnet rock,54.0
Fastnet Rock,54.0
Fastnet Rock,54.0
燈塔島,54.0
Fortaleza General Artigas,8.0
Fortaleza General Artigas,8.0
Fortaleza del Cerro,8.0
Kings Point Light,31.0896
Long Point Light,11.5824
Los Angeles Harbor Light,21.0312
Sands Point Light,19.812
Souter Lighthouse,23.4696
بلاجروسا,23.0
Palagruža,23.0
Palagruža,23.0
Pelagosa,23.0
Palagruža,23.0
Palagruža,23.0
パラグルジャ,23.0
Palagruža-archipel,23.0
Palagruža,23.0
Palagruža,23.0
Палагружа,23.0
帕拉格魯扎島,23.0
Cap Anguille,18.0
Cape Anguille,18.0
Toronto Harbour Light,12.0
White Shoal Light (Michigan),37.7952
Barra Head Lighthouse,18.0
Phare de Barra Head,18.0
Barra Head Lighthouse,18.0
Blåvandshuk Fyr,39.0
Blåvand Lighthouse,39.0
Bogskär Lighthouse,22.0
Brough of Birsay Lighthouse,11.0
Caribou Island Light,31.5
Faro de Punta de Dunnet,20.0
Faro di Dunnet Head,20.0
Latarnia morska Dunnet Head,20.0
Dunnet Head lighthouse,20.0
Faro delle isole Flannan,23.0
Flannan Isles Lighthouse,23.0
Hammeren Fyr,21.0
Hammeren Lighthouse,21.0
Holyhead Breakwater Lighthouse,19.0
Holyhead Mail Pier Light,15.0
Low Light of the Hook of Holland,13.4
Maatsuyker Island Lighthouse,15.0
Maatsuyker Island Lighthouse,15.0
Orehoved Lighthouse,11.0
Latarnia morska Peninnis,14.0
Peninnis Lighthouse,14.0
Phare de Nividic,36.0
Faro de Nividic,36.0
Phare de Nividic,36.0
Faro di Nividic,36.0
Phare de Nividic,36.0
Kap Monze,48.0
Ras Muari,48.0
Rønne Lighthouse,18.0
Phare blanc de Skagen,21.0
Skagen's White Lighthouse,21.0
Phare de Skagen,46.0
Skagen Lighthouse,46.0
Stenen Baak,15.0
Stenen Baak,15.0
Svaneke Lighthouse,18.0
Triple Island Lightstation,21.9
Faro de Utö,24.0
Utö Lighthouse,24.0
Vesborg,19.0
High and Low Lights of North Shields,17.3736
High and Low Lights of North Shields,25.908
Kilakarai lighthouse,30.0
Oluvil Lighthouse,24.0
Pondicherry lighthouse,27.0
Sletterhage Fyr,16.0
Sletterhage Lighthouse,16.0
Nansemond River Light,10.9728
Punta Kanon,11.0
Punt Kanon,11.0
Beach Lighthouse (Fleetwood),13.0
Beach Lighthouse (Fleetwood),13.0
Chesapeake Light,36.576
Keskiniemi Light,9.0
Phare de la Jument,48.0
Faro de la Jument,48.0
Phare de la Jument,48.0
Faro della Jument,48.0
La Jument,48.0
Långe Erik,32.1
Långe Erik,32.1
Långe Erik,32.1
Långe Jan,41.6
Långe Jan,41.6
Långe Jan,41.6
Långe Jan,41.6
Phare du Créac’h,54.85
Faro del Créac'h,54.85
Faro di Créac'h,54.85
Phare du Créac'h,54.85
Phare du Creach,54.85
St. Martin Island Light,22.86
Ardnamurchan Lighthouse,36.0
Latarnia morska Ardnamurchan,36.0
Ardnamurchan Lighthouse,36.0
Dyna Fyr,12.5
Dyna Lighthouse,12.5
Stannard Rock Light,30.48
Stannard Rock Light,30.48
Leuchtturm Urk,18.5
Vuurtoren van Urk,18.5
Latarnia morska w Urk,18.5
Urk Lighthouse,18.5
Vuurduin,16.8
Vuurduin,16.8
Vuurduin,16.8
Vuurduin,16.8
Faro de Favàritx,28.0
Favàritx Lighthouse,28.0
Faro de Isla Verde,9.0
Isla Verde Lighthouse,9.0
Faro de La Isleta,10.0
La Isleta Lighthouse,10.0
Faro de Morro Jable,59.0
Morro Jable Lighthouse,59.0
Faro de Punta Carnero,19.0
Punta Carnero Lighthouse,19.0
Faro de Sancti Petri,16.0
Sancti Petri Lighthouse,16.0
Faro del Cabo Caccia,24.0
Faro di Capo Caccia,24.0
Capo Caccia Lighthouse,24.0
Faro di Ancona,15.0
Ancona Lighthouse (Faro di Colle Cappuccini),15.0
白沙岬燈塔,27.7
Baishajia Lighthouse,27.7
Barrettinelli di Fuori Lighthouse,12.0
鼻頭角燈塔,12.3
Bitoujiao Lighthouse,12.3
Breaksea Island (Western Australia) Lighthouse,15.5
Buenavista Lighthouse,41.0
Cantick Head Lighthouse,22.0
Faro di Capo Carbonara,5.0
Capo Carbonara Lighthouse,5.0
Capo Colonne Lighthouse,22.0
Phare de l'île Deal,22.0
Deal Island Lighthouse,22.0
Farol da Ponta Norte,5.0
Farol da Ponta Norte,5.0
Gabo Island Lighthouse,46.9
Kızılada Feneri,13.0
Miscou Island Lighthouse,11.3
Vuurtoren van Noordwijk aan Zee,25.5
Noordwijk Lighthouse,25.5
Noss Head Lighthouse,18.0
彭佳嶼燈塔,28.6
Pengjia Lighthouse,28.6
Faro di Portoferraio,60.0
Portoferraio Lighthouse,60.0
Faro di Punta Tagliamento,21.9456
Punta Tagliamento Lighthouse,21.9456
Punta de Melenara Lighthouse,17.0
烏坵嶼燈塔,19.5
Wuqiu Lighthouse,19.5
漁翁島燈塔,11.0
Yuwengdao Lighthouse,11.0
North Point Range Lights,10.3632
Rivinletto Light,8.0
Cape Romain Lighthouses,19.812
Drum Point Light,14.0208
Roche's Point Lighthouse,15.0
Admiralty Head Light,9.144
Admiralty Head Light,9.144
Bodie Island Lighthouse,50.292
Farol de Bodie Island,50.292
Маяк острова Боди,50.292
Fire Island Lighthouse,51.2064
Frankfort Light,20.4216
Hunting Island Light,41.4528
Mumbles Lighthouse,17.0
Latarnia morska Mumbles,17.0
Ocracoke Light,23.1648
Farol de Ocracoke,23.1648
Маяк Окракоук,23.1648
Race Rocks Light,24.4
Phare de Race Rocks,24.4
Sabine Pass Lighthouse,22.86
Halfmoon Reef Light,6.096
Kjeungskjær fyr,20.6
Phare Kjeungskjær,20.6
Kjeungskjær,20.6
Kjeungskjær Lighthouse,20.6
Faro di Vieste,27.0
Vieste Lighthouse,27.0
Rotten Island lighthouse,15.0
Carmanah Point Light Station,11.0
Citadel Island Lighthouse,2.0
Spider Light Strike Vehicle,1.8
Light Strike Vehicle (Singapore),1.8
Spider Light Strike Vehicle,1.9
Light Strike Vehicle (Singapore),1.9
Farol da Ponta da Barca,23.0
Lighthouse of Ponta da Barca (Graciosa),23.0
"Old Harbor Light (Savannah, Georgia)",7.62
Pasig River Light,14.0
Point Lonsdale Lighthouse,21.3
Queenscliff Low Light,22.2
Latarnia Morska Sopot,33.0
Sopot Lighthouse,33.0
Phare de Sunosaki,14.8
洲埼灯台,14.8
洲埼灯塔,14.8
Sunosaki Lighthouse,14.8
Turtle Island Light,13.4112
Faro de Anaga,12.0
Punta de Anaga Lighthouse,12.0
Cape Forchu Lighthouse,27.7
Concord Point Light,10.9728
Eagle Harbor Light,13.4112
Hudson–Athens lighthouse,14.0208
Old Mackinac Point Light,15.24
Point Arena Light,35.052
Point Fermin Light,9.144
Point Hueneme Light,14.6304
Point Vicente Light,20.4216
Race Point-Leuchtturm,13.716
Race Point Light,13.716
Phare de Wind Point,32.9184
Wind Point Light,32.9184
Block Island North Light,16.764
Grand Island North Light,62.484
Faro de Vorontsov,26.0
Vorontsov Lighthouse,26.0
Latarnia Morska Woroncowa w Odessie,26.0
Воронцовский маяк,26.0
Warren Landing Lower Range Lights,6.0
Warren Landing Upper Range Lights,6.0
Warrior Rock Light,7.62
Wood End Light,11.8872
Dog Island Light,15.24
Dungeness Lighthouse,43.0
Fort Point Light (Texas),14.3256
Forty Mile Point Light,15.8496
Georges Island Lighthouse,16.0
Lover's Leap Lighthouse,30.48
"North Head Lighthouse, Saldanha Bay",21.0
Orient Long Beach Bar Light,17.6784
Point No Point Light (Washington),9.144
Round Island Lighthouse (Mississippi),15.24
Round Island Light (Mississippi),15.24
Round Island Light (Sri Lanka),21.0
Windmill Point Light (Vermont),12.192
Windmill Point Light (Virginia),10.9728
Inishtrahull Lighthouse,23.0
Phare du Cap Leucate,19.4
Phare du cap Leucate,19.4
Phare du Cap Leucate,19.4
Poolbeg Lighthouse,20.0
Kaura Lighthouse,22.0
Marcus Hook Range Rear Light,32.004
Smalls Lighthouse,41.0
Latarnia morska Smalls,41.0
Cedar Point Light (Maryland),13.716
日本灯台 (ガラパン),15.24
"Japanese Lighthouse (Garapan, Saipan)",15.24
日本灯台 (チューク州),32.0
"Japanese Lighthouse (Poluwat, Chuuk)",32.0
Leuchtturm Neuland,40.0
Neuland Lighthouse,40.0
Phare de Tacking Point,8.0
Tacking Point Lighthouse,8.0
Fort Sumter Range Lights,15.5448
Southerness Lighthouse,17.0
Southerness lighthouse,17.0
Colchester Reef Light,10.668
Landsort,25.0
Landsort,25.0
Landsort,25.0
Landsort,25.0
Landsort,25.0
Block Island Southeast Light,15.8496
Юго-восточный маяк (остров Блок),15.8496
Caldey Lighthouse,16.0
Latarnia morska Caldey,16.0
Cape Fear Light,56.0832
"Great Isaac Cay, Bahamas",46.0
Cayo Isaac Grande,46.0
Oak Island Light,46.6344
Farol de Oak Island,46.6344
Маяк острова Оак,46.6344
Point Bolivar Light,35.3568
Faro de Punta Bolívar,35.3568
Point Judith Light,15.5448
Point Pinos Lighthouse,13.1064
Point Pinos Lighthouse,13.1064
Pointe-au-Père Lighthouse,32.9184
Phare de Pointe-au-Père,32.9184
Faro de Pointe-au-Père,32.9184
Phare de Pointe-au-Père,32.9184
Race Rock Light,13.716
Skokholm Lighthouse,18.0
Latarnia morska Skokholm,18.0
Slyne Head lighthouse,24.0
South Bishop Lighthouse,11.0
Latarnia morska South Bishop,11.0
St. Ann's Head Lighthouse,13.0
Latarnia morska St Anns Head,13.0
Stonington Harbor Light,10.668
Two Harbors Light,14.9352
Watch Hill Light,18.5928
Anda Lighthouse,16.0
Chaine Memorial,23.0
Cloch,23.1648
Dolphin Lighthouse,13.0
Duncansby Head,11.0
Duncansby Head,11.0
Duncansby Head,11.0
Feeali (Faafu Atoll),5.0
Feeali,5.0
Prong's Lighthouse,41.0
Raimmandhoo (Meemu Atoll),13.0
Raimmandhoo,13.0
St. George Reef Light,27.432
Sunk Rock Lighthouse,22.0
Adschigol-Leuchtturm,64.3128
Phare d'Adziogol,64.3128
Faro Adziogol,64.3128
アジゴル灯台,64.3128
Adziogol Lighthouse,64.3128
Аджигольский маяк,64.3128
Bells Rock Light,12.192
Cape Bruny Lighthouse,13.0
Cape Bruny Lighthouse,13.0
East Island Lighthouse (Western Australia),23.0
Flåvær Lighthouse,13.8
Great Wicomico River Light,12.8016
Hams Bluff Light,10.668
Homlungen Lighthouse,12.0
Faro de Cannanore,23.0
Kannur lighthouse,23.0
Lindesnes fyr,16.1
Phare de Lindesnes,16.1
Lindesnes Lighthouse,16.1
Линдеснес (маяк),16.1
Nugget Point Lighthouse,9.0
ナゲット・ポイント燈台,9.0
Nugget Point Lighthouse,9.0
Stingray Point Light,10.3632
Svinøy fyr,10.8
Svinøy Lighthouse,10.8
Torbjørnskjær Lighthouse,17.9
Leuchtturm Bremerhaven,37.0
Vuurtoren Bremerhaven,37.0
Bremerhaven lighthouse,37.0
Bluff Point Light,10.668
Bois Blanc Light,11.5824
Brenton Reef Light,26.5176
Faro de Cabo Rachado,24.0
Cape Rachado Lighthouse,24.0
Faro de Colombo,15.0
Colombo Lighthouse,15.0
East Chop Light,12.192
East Chop Light,12.192
Eastern Point Light,10.9728
Fort Ripley Shoal Light,13.4112
Faro de Galle,26.5
Galle Lighthouse,26.5
Grand Island East Channel Light,13.716
Great Basses Reef Lighthouse,37.0
Gull Island Light (Wisconsin),15.24
Hilton Head Range Rear Light,26.5176
Hog Island Shoal Light,18.288
Hoo Stack,8.5
Isle Royale Light,18.5928
Killock Shoal Light,14.6304
Little Basses Reef Lighthouse,37.0
Lorain West Breakwater Light,15.5448
Mayo Beach Light,7.62
Munising Front Range Light,7.3152
Munising Rear Range Light,4.572
Old Colombo Lighthouse,29.0
Poplar Point Light,13.716
Faro de Qilaibi,7.6
Qilaibi Lighthouse,7.6
奇萊鼻燈塔,7.6
Reykjanesviti,31.0
Phare de Reykjanes,31.0
Reykjanesviti,31.0
Tarpaulin Cove Light,8.5344
Tarpaulin Cove Light,8.5344
Undan Island Lighthouse,15.0
Waugoshance Light,19.2024
Phare des Roches-Douvres,64.9224
Phare des Roches-Douvres,64.9224
Roches-Douvres Light,64.9224
Bjørnsund fyr,9.0
Bjørnsund Lighthouse,9.0
Leuchtturm Kap Arkona,21.0
Faro del Cabo Arkona,21.0
Cape Arkona Lighthouse,21.0
Leuchtturm Dornbusch,28.0
Vuurtoren Dornbusch,28.0
Dornbusch Lighthouse,28.0
Erkna fyr,10.0
Erkna Lighthouse,10.0
Flatflesa fyr,13.7
Flatflesa Lighthouse,13.7
Grasøyane fyr,20.5
Grasøyane Lighthouse,20.5
Grip fyr,47.0
Grip Lighthouse,47.0
Haugjegla fyr,27.8
Haugjegla Lighthouse,27.8
Haugsholmen fyr,10.0
Haugsholmen Lighthouse,10.0
Hellevik fyr,6.0
Hellevik Lighthouse,6.0
Hestskjær fyr,20.0
Hestskjær Lighthouse,20.0
Kapelluddens fyr,32.0
Kapelludden lighthouse,32.0
Kvitholmen fyr,12.0
Kvitholmen Lighthouse,12.0
Skalmen fyr,15.5
Skalmen Lighthouse,15.5
Tyrhaug fyr,14.2
Tyrhaug Lighthouse,14.2
Whitehead (Maine),12.4968
Whitehead Light,12.4968
Faro del Cabo Bojeador,20.0
Cape Bojeador Lighthouse,20.0
Faro di Capo Mele,25.0
Capo Mele Lighthouse,25.0
Faro di Capo dell'Arma,4.572
Capo dell'Arma Lighthouse,4.572
Faro di Capo dell'Armi,12.0
Capo dell'Armi Lighthouse,12.0
Dutch Gap Canal Lights,8.2296
Faro del Castillo del Morro,25.0
Faro Castillo del Morro,25.0
Faro de Cabo Cruz,32.0
Faro Vargas,32.0
Halten Lighthouse,29.5
Huron Island Light,11.8872
Faro de Pass Manchac,12.192
Pass Manchac Light,12.192
Faro de Punta Penna,70.104
Faro di Punta Penna,70.104
Phare de Punta Penna,70.104
Punta Penna Lighthouse,70.104
Punta Pezzo,23.0
Punta Pezzo,23.0
Punta Pezzo,23.0
Rangitoto Lighthouse,20.0
Romer Shoal Light,16.4592
Faro de San Venerio,24.0
Faro di San Venerio,24.0
San Venerio Lighthouse,24.0
Faro di Scilla,6.0
Scilla Lighthouse,6.0
Shinnecock Light,51.2064
Söderarm,21.0
Tjärven,13.0
Understen,39.0
Waukegan Harbor Light,10.668
Faro de Artrutx,34.0
Cap d’Artrutx Lighthouse,34.0
Faro de Sagres,13.0
Farol de Sagres,13.0
Lighthouse of Ponta de Sagres,13.0
Faro de Portopí,38.0
Porto Pí Lighthouse,38.0
三貂角燈塔,16.5
Cape Santiago Lighthouse (Taiwan),16.5
Chester Rock Light,7.0104
東引島燈塔,14.2
Dongyong Lighthouse,14.2
Grand Haven South Pierhead Entrance Light,10.9728
Grand Haven South Pierhead Inner Light,10.9728
旗後灯台,15.2
高雄燈塔,15.2
Kaohsiung Lighthouse,15.2
蘭嶼燈塔,14.8
Lanyu Lighthouse,14.8
綠島燈塔,33.3
Lyudao Lighthouse,33.3
Walney Lighthouse,24.0
Deepwater Shoals Light,8.2296
Pigeon Point Lighthouse,35.052
鸽点灯塔,35.052
Pigeon Point Lighthouse,35.052
Cape Enrage,9.0
Cape Enrage Lighthouse,9.0
Cap Enragé,9.0
Crisp Point Light,17.6784
Baily Lighthouse,13.0
Faro de Baily,13.0
Barnegat Lighthouse,51.5112
Phare de Barnegat,51.5112
Cairns of Coll,7.5
Cabo de San Antonio (Cuba),23.0
Cap San Antonio (Cuba),23.0
Cabo San Antonio (Cuba),23.0
"Cape San Antonio, Cuba",23.0
Haig Point Range Lights,5.4864
Haig Point Range Lights,5.4864
Kolhufushi (Meemu Atoll),12.0
Kolhufushi (Meemu-atol),12.0
Absecon Lighthouse,52.1208
Cape Schanck Lighthouse,21.0
Nilandhoo (Faafu Atoll),13.0
Nilandhoo (Faafu-atol),13.0
Leuchtturm von Cordouan,67.9704
Cordouan Lighthouse,67.9704
Faro de Cordouan,67.9704
Phare de Cordouan,67.9704
Faro di Cordouan,67.9704
Eagle Bluff Light,13.1064
Eagle Bluff Light,13.1064
Grand Traverse Light,12.4968
Heceta Head Light,17.0688
Rose Island Light,10.668
Jupiter Inlet Light,32.004
Key West lighthouse,22.2504
Маяк Ки-Уэст,22.2504
Lizard Lighthouse,19.0
Lizard Lighthouse,19.0
Faro Lizard,19.0
Phare du Cap Lizard,19.0
Faro di Capo Lizard,19.0
Latarnia morska Lizard,19.0
Лизардский маяк,19.0
Pensacola Light,45.72
Phare de Pensacola,45.72
St. Augustine Light,15.8496
Tater Du Lighthouse,15.0
Latarnia morska Tater Du,15.0
Маяк Татер-Ду,15.0
Winterton Lighthouse,19.0
Säppi lighthouse,28.21
Green Island Light (Wisconsin),14.6304
Faro de Green Point (Ciudad del Cabo),16.0
Phare Green Point,16.0
"Green Point Lighthouse, Cape Town",16.0
Greenbury Point Light,11.8872
Horsburgh Lighthouse,34.0
Faro de Horsburgh,34.0
Latarnia morska Jaffa,10.0
Jaffa Light,10.0
Leuchtturm Amrum,41.0
Amrum Lighthouse,41.0
Амрум (маяк),41.0
Assateague Light,43.2816
Galina Lighthouse,3.9624
Kõpu tuletorn,36.0
Faro de Kõpu,36.0
Phare de Kõpu,36.0
Kõpu Lighthouse,36.0
