http://dbpedia.org/ontology/Wrestler,http://dbpedia.org/ontology/height
Jesse Neal,1.8288
Jesse Neal,1.8288
Jesse Neal,1.8288
木村響子,1.64
Kyoko Kimura,1.64
ラ・ディアボリカ,1.55
La Diabólica,1.55
La Parkita,1.45
Lady Apache,1.6
レディ・アパッチェ,1.6
Lady Apache,1.6
マイク・セグラ,1.67
Mike Segura,1.67
Demus 3:16,1.6
Pequeño Damián 666,1.6
Pierrothito,1.54
Rudy Kay,1.7526
Sensei (wrestler),1.72
Jorge Rivera Serrano,1.7
ホルヘ・リベラ (プロレスラー),1.7
Skayde,1.7
Super Muñeco,1.7
Super Muñeco,1.7
Súper Nova,1.66
Súper Nova,1.66
アンヘル・アステカ,1.72
Ángel Azteca,1.72
Último Dragoncito,1.58
"Richard Blood, Jr.",1.8796
"Richard Blood, Jr.",1.8796
Richie Steamboat,1.8796
リッキー・スティムボート・ジュニア,1.8796
Ricky Steamboat Jr.,1.8796
"Ricky Steamboat, Jr.",1.8796
Richie Steamboat,1.8796
Camille Tourville,1.905
Camille Tourville,1.905
ターザン・タイラー,1.905
Camille Tourville,1.905
Camille Tourville,1.905
Tarzan Tyler,1.905
Aéreo,1.59
Hijo del Signo,1.75
Hombre Bala Jr.,1.75
Kyosuke Mikami,1.77
三上恭佑,1.77
Kyosuke Mikami,1.77
Magnus (luchador),1.77
Niño de Acero,1.6
Super Halcón Jr.,1.78
ティタン (プロレスラー),1.7
Titán (wrestler),1.7
Tritón (wrestler),1.68
Ali Nadhim,1.9
Arsen Eraliev,1.65
Arsen Eralijew,1.65
"Эралиев, Арсен Кадырбаевич",1.65
Arsen Eraliev,1.65
"Алиев, Ашраф Паша оглы",1.7526
Ashraf Aliyev,1.7526
Bob Evans (wrestler),1.905
Charlie Cook (wrestler),1.8288
Colin Daynes,1.73
Colin Daynes,1.73
Davit Modzmanashvili,1.8288
Davit Modzmanashvili,1.8288
Davit Modzmanashvili,1.8288
Dawit Modzmanaszwili,1.8288
Davit Modzmanashvili,1.8288
Elmurat Tasmuradov,1.6
Elmurat Tasmuradov,1.6
Elmurat Tasmuradov,1.6
Elmurod Toshmurodov,1.6
Elmurat Tasmuradov,1.6
"Тасмурадов, Эльмурат Зулыпкарович",1.6
Elmurat Tasmuradov,1.6
Evan MacDonald,1.68
Evan MacDonald,1.68
Fu’ad Fadżdżari,1.66
Fouad Fajari,1.66
Ixtiyor Navroʻzov,1.66
Ikhtiyor Navruzov,1.66
Ixtiyor Navroʻzov,1.66
Ikhtiyor Navruzov,1.66
"Наврузов, Ихтиёр Каримович",1.66
Ikhtiyor Navruzov,1.66
Kalamity,1.57
Kalamity,1.57
Matthew Marinelli,1.8796
Matt Taven,1.8796
マット・ターバン,1.8796
Matt Taven,1.8796
Matt Taven,1.8796
藤田峰雄,1.78
Mineo Fujita,1.78
Moʻminjon Abdullayev,1.87
Muminjon Abdullaev,1.87
納撒尼爾·塔馬哈洛,1.8
Nathaniel Tuamoheloa,1.8
Pascal Strebel,1.76
Pascal Strebel,1.76
Pequeño Nitro,1.6
Pequeño Universo 2000,1.65
Ray Takahashi,1.6
Ray Takahashi,1.6
レイ・エスコルピオン,1.76
Rey Escorpión,1.76
Ri Jong-myong,1.64
Ri Jong-myong,1.64
Rustam Iskandari,1.84
"Искандари, Рустам",1.84
Rustam Iskandari,1.84
Shelley Morten,1.63
Tarik Belmadani,1.68
Tarik Belmadani,1.68
Tarik Belmadani,1.68
"Бельмадани, Тарик",1.68
Tarik Belmadani,1.68
The Wolfman (wrestler),1.8796
Tinieblas Jr.,1.93
Tursas (wrestler),2.032
Yusuke Kodama,1.72
児玉裕輔,1.72
Yusuke Kodama,1.72
Zak Zodiac,1.85
Zalimkhan Yusupov,1.65
Zalimchan Jusupow,1.65
Zalimkhan Yusupov,1.65
Shaun Ricker,1.8796
Shaun Ricker,1.8796
ショーン・リッカー,1.8796
Eli Drake,1.8796
Fred Peloquin,1.8288
Jason Kincaid,1.8288
タイガー戸口,1.93
Kim Duk,1.93
Leah Vaughan,1.7018
Lei'D Tapa,1.8034
Lei'D Tapa,1.8034
Lei'D Tapa,1.8034
Lei'D Tapa,1.8034
Firpo Segura,1.69
Firpo Segura,1.69
Tony Condello,1.6764
Don Bass (wrestler),1.8288
Emese Barka,1.67
"Барка, Эмеше",1.67
Emese Barka,1.67
Ganzoriguiin Mandajnaran,1.65
Gandzorigijn Mandachnaran,1.65
Ганзоригийн Мандахнаран,1.65
Ganzorigiin Mandakhnaran,1.65
Gao Feng,1.65
Gao Feng (wrestler),1.65
Helger Hallik,1.87
Kacee Carlisle,1.6002
Marcus Anthony,1.8288
Marcus Anthony,1.8288
Mike George (wrestler),1.8796
Nariman Israpilov,1.64
Nariman Israpiłow,1.64
"Исрапилов, Нариман Магомедович",1.64
Nariman Israpilov,1.64
Ryo Matsuri,1.73
怨霊 (プロレスラー),1.73
Onryo (wrestler),1.73
Peter Hernandez,1.778
Norv Fernum,1.778
Peter Avalon,1.778
Romeo Valentino,1.8796
Valeri Nikitin (luchador),1.65
Valeri Nikitin (wrestler),1.65
Yekaterina Larionova,1.58
Yekaterina Larionova,1.58
Jekatierina Łarionowa,1.58
Yekaterina Larionova,1.58
"Ларионова, Екатерина Алексеевна",1.58
Yekaterina Larionova,1.58
Aleksandr Bogomóyev,1.65
Aleksandr Bogomojew,1.65
"Богомоев, Александр Павлович",1.65
Aleksandr Bogomoev,1.65
Alireza Karimi,1.75
Alireza Karimi,1.75
Alireza Karimi,1.75
Gary Gordon (luchador),1.9558
アンジェロ・ドーキンス,1.9558
Angelo Dawkins,1.9558
Bekzod Abdurahmonov,1.778
Bekzod Abdurahmonov,1.778
"Абдурахмонов, Бекзод Махамаджонович",1.778
Bekzod Abdurakhmonov,1.778
Daria Berenato,1.7018
Daria Berenato,1.7018
Diaaeldin Kamal Gouda Abdelmottaleb,1.77
Dija ad-Din Kamal Dżauda,1.77
戴艾汀·卡邁勒,1.77
Diaaeldin Kamal,1.77
Logan Shulo,1.8542
ローガン・シューロ,1.8542
Elias Samson,1.8542
Elmira Syzdykova,1.72
Elmira Syzdykova,1.72
Elmira Syzdykowa,1.72
Elmira Syzdykova,1.72
Elmira Syzdykova,1.72
Gzim Selmani,1.9304
ギジム・セルマーニ,1.9304
Gzim Selmani,1.9304
Hamza Haloui,1.8
Hamza Haloui,1.8
哈姆扎·荷洛威,1.8
Hamza Haloui,1.8
Jong Hak-jin,1.68
Jong Hak-jin,1.68
郑学真,1.68
Jong Hak-jin,1.68
Justina Di Stasio,1.71
Justina Di Stasio,1.71
Justina Di Stasio,1.71
Chelsea Green,1.7018
Laurel Van Ness,1.7018
Liv Morgan,1.6256
Liv Morgan,1.6256
Liv Morgan,1.6256
Meisam Nassiri,1.69
Mejsam Nasiri,1.69
Meisam Nasiri,1.69
Nikki Storm,1.5494
Nikki Cross,1.5494
Levis Valenzuela Jr.,1.905
No Way Jose,1.905
リーバイス・バレンズエラ・ジュニア,1.905
No Way Jose (wrestler),1.905
Rustam Assakalov,1.83
Rustam Assakalov,1.83
Rustam Assakalov,1.83
Rustam Assakalov,1.83
Sara Lee (luchadora),1.6764
Sara Lee,1.6764
Sara Lee (wrestler),1.6764
Stepán Marianián,1.68
Stiepan Marianian,1.68
"Марянян, Степан Маилович",1.68
Stepan Maryanyan,1.68
Viktar Sasunouski,1.8
Wiktar Sasunouski,1.8
"Сосуновский, Виктор Михайлович",1.8
Viktar Sasunouski,1.8
Albert Hardie Jr.,1.7526
ACH (wrestler),1.7526
ACH (wrestler),1.7526
Afa Anoa’i,1.8796
Afa Anoaʻi,1.8796
Afa Anoa'i Sr.,1.8796
Afa Anoaʻi,1.8796
アファ・アノアイ,1.8796
Afa Anoa'i,1.8796
Afa Anoaʻi Sr.,1.8796
Afa Anoaʻi Jr.,1.8796
"Afa Anoa'i, Jr.",1.8796
"Afa Anoa'i, Jr.",1.8796
"Afa Anoaʻi, Jr.",1.8796
アファ・アノアイ・ジュニア,1.8796
Afa Anoa'i Jr.,1.8796
Afa Anoaʻi Jr.,1.8796
"Afa Anoa'i, Jr.",1.8796
Angel Medina (wrestler),1.8796
Astral (wrestler),1.6
سكوت شارليز بيغلو,1.9304
Scott Bigelow,1.9304
Bam Bam Bigelow,1.9304
Bam Bam Bigelow,1.9304
Scott Bigelow,1.9304
Bam Bam Bigelow,1.9304
バンバン・ビガロ,1.9304
Bam Bam Bigelow,1.9304
Bam Bam Bigelow,1.9304
Scott Bigelow,1.9304
Бам Бам Бигелоу,1.9304
Black Bart (wrestler),1.8288
リック・ハリス,1.8288
ラ・ロサ・ネグラ,1.524
Black Rose (wrestler),1.524
Brian Christopher,1.778
Brian Lawler,1.778
Brian Lawler,1.778
Brian Christopher Lawler,1.778
Brian Christopher,1.778
ブライアン・ローラー,1.778
Brian Lawler,1.778
Brian Lawler,1.778
Butch Miller (wrestler),1.85
Butch Miller,1.85
Butch Miller (catch),1.85
ブッチ・ミラー,1.85
فيل بروكس,1.8796
CM Punk,1.8796
CM Punk,1.8796
CM Punk,1.8796
CM Punk,1.8796
CM Punk,1.8796
CMパンク,1.8796
CM Punk,1.8796
CM Punk,1.8796
CM Punk,1.8796
СМ Панк,1.8796
CM Punk,1.8796
Ariane Andrew,1.6764
Cameron Lynn,1.6764
Ariane Andrew,1.6764
Ariane Andrew,1.6764
Cameron (lutadora),1.6764
Кэмерон Линн,1.6764
Cameron (wrestler),1.6764
Charly Manson,1.75
Charly Manson,1.75
チャーリー・マンソン,1.75
Christian Cage,1.8796
جيسون ريسو,1.8796
Christian (Wrestler),1.8796
Christian Cage,1.8796
Christian (catcheur),1.8796
Christian Cage,1.8796
ジェイソン・リソ,1.8796
Jason Reso,1.8796
Christian (wrestler),1.8796
Christian (lutador),1.8796
Кристиан (рестлер),1.8796
基斯頓,1.8796
Danie Brits,1.8288
Don Jardine,1.9304
Don Jardine,1.9304
ドン・ジャーディン,1.9304
Don West (sportscaster),1.7526
George Wells (wrestler),1.8542
ジョージ・ウェルズ (プロレスラー),1.8542
Giant Haystacks,2.1082
Giant Haystacks,2.1082
Martin Ruane,2.1082
Martin Ruane,2.1082
Glen Osbourne,1.8542
Harley Race,1.8542
Harley Race,1.8542
Harley Race,1.8542
Harley Race,1.8542
Harley Race,1.8542
ハーリー・レイス,1.8542
Harley Race,1.8542
Harley Race,1.8542
Harley Race,1.8542
哈利·瑞斯,1.8542
紫雷イオ,1.56
Io Shirai,1.56
جيم روس,1.83
Jim Ross,1.83
Jim Ross,1.83
Jim Ross,1.83
Jim Ross,1.83
Jim Ross,1.83
ジム・ロス,1.83
Jim Ross,1.83
Jim Ross,1.83
Jim Ross,1.83
吉姆·羅斯,1.83
Johnny Swinger,1.778
Johnny Swinger,1.778
ジョニー・スウィンガー,1.778
KAI (wrestler),1.77
Kai (catcheur),1.77
KAI (プロレスラー),1.77
Kai (wrestler),1.77
宝城カイリ,1.55
Kairi Hojo,1.55
Kenzo Suzuki,1.91
Kenzo Suzuki,1.91
Kenzo Suzuki (wrestler),1.91
Kenzo Suzuki (catcheur),1.91
KENSO (プロレスラー),1.91
Kenzo Suzuki,1.91
Kit Osbourne,1.7018
Kyle O'Reilly,1.8034
Kyle O'Reilly,1.8034
カイル・オライリー,1.8034
Kyle O'Reilly,1.8034
Lenny Montana,1.8288
Lenny Montana,1.8288
Lenny Montana,1.8288
Lenny Montana,1.8288
Lenny Montana,1.8288
Lenny Montana,1.8288
Makoto Saito (luchador),1.73
Makoto Saitō (wrestler),1.73
Makoto Saitō,1.73
K-ness.,1.73
Mephisto (luchador),1.75
Mephisto (catcheur),1.75
メフィスト (プロレスラー),1.75
Mephisto (wrestler),1.75
Mephisto (wrestler),1.75
Michael Hayes (wrestler),1.9304
Michael Hayes (Wrestler),1.9304
Michael Hayes,1.9304
Michael Hayes (wrestler),1.9304
Michael Hayes (catcheur),1.9304
マイケル・ヘイズ,1.9304
Michael Hayes,1.9304
Michael Hayes,1.9304
"Хейс, Майкл",1.9304
مونتيل فانتيفيوس بورتر,1.905
Montel Vontavious Porter,1.905
Montel Vontavious Porter,1.905
Hassan Hamin Assad,1.905
"Alvin Burke, Jr",1.905
Montel Vontavious Porter,1.905
アルヴィン・バーク・ジュニア,1.905
Montel Vontavious Porter,1.905
Montel Vontavious Porter,1.905
Montel Vontavious Porter,1.905
Монтел Вонтевиус Портер,1.905
蒙特爾·凡特維斯·波特,1.905
Naomi (Wrestlerin),1.651
Naomi (luchadora),1.651
Naomi (catcheuse),1.651
Naomi Knight,1.651
Trinity McCray,1.651
Naomi (wrestlerka),1.651
Naomi (lutadora),1.651
Наоми Найт,1.651
Naomi (wrestler),1.651
New Jack,1.8288
New Jack (Wrestler),1.8288
New Jack,1.8288
New Jack,1.8288
ジェロム・ヤング,1.8288
اورلاندو جوردن,1.9304
Orlando Jordan,1.9304
Orlando Jordan,1.9304
Orlando Jordan,1.9304
Orlando Jordan,1.9304
Orlando Jordan,1.9304
オーランド・ジョーダン,1.9304
Orlando Jordan,1.9304
Orlando Jordan,1.9304
Orlando Jordan,1.9304
Орландо Джордан,1.9304
راندي أورتن,1.9558
Randy Orton,1.9558
Randy Orton,1.9558
Randy Orton,1.9558
Randy Orton,1.9558
Randy Orton,1.9558
ランディ・オートン,1.9558
Randy Orton,1.9558
Randy Orton,1.9558
Randy Orton,1.9558
"Ортон, Рэнди",1.9558
蘭迪·歐頓,1.9558
Raúl Romero,1.69
Rich Swann,1.7272
Rich Swann,1.7272
リッチ・スワン,1.7272
Rich Swann,1.7272
Ricky Romero (wrestler),1.8288
リッキー・ロメロ (プロレスラー),1.8288
Romeo Roselli,1.8542
Giovanni Roselli,1.8542
Giovanni Roselli,1.8542
ジョヴァンニ・ロゼリー,1.8542
Shuji Kondo,1.73
Shūji Kondō,1.73
Shūji Kondō,1.73
近藤修司,1.73
Starman (wrestler),1.75
Sushil Kumar,1.66
Sushil Kumar,1.66
Sushil Kumar,1.66
Sushil Kumar,1.66
Sushil Kumar,1.66
"Кумар, Сушил",1.66
Sushil Kumar (wrestler),1.66
Sylvester Terkay,1.9812
Sylvester Terkay,1.9812
Sylvester Terkay,1.9812
ザ・プレデター,1.9812
Sylvester Terkay,1.9812
Sylvester Terkay,1.9812
Tamie Sheffield,1.524
Tamie Sheffield,1.7272
Tazz,1.7526
تاز (مصارع),1.7526
Taz (Wrestler),1.7526
Tazz,1.7526
Tazz (catcheur),1.7526
Tazz,1.7526
タズ,1.7526
Tazz,1.7526
Tazz,1.7526
Tazz,1.7526
Тазз,1.7526
Terry Funk,1.8542
Terry Funk,1.8542
Terry Funk,1.8542
Terry Funk,1.8542
Terry Funk,1.8542
テリー・ファンク,1.8542
Terry Funk,1.8542
Terry Funk,1.8542
"Фанк, Терри",1.8542
泰瑞·放克,1.8542
The Honky Tonk Man,1.8542
The Honky Tonk Man,1.8542
The Honky Tonk Man,1.8542
The Honky Tonk Man,1.8542
The Honky Tonk Man (catcheur),1.8542
ウェイン・ファリス,1.8542
Roy Wayne Farris,1.8542
The Honky Tonk Man,1.8542
"Фаррис, Рой Уэйн",1.8542
ذي آيرون شيك,1.8288
The Iron Sheik,1.8288
Hossein Khosrow Vaziri,1.8288
The Iron Sheik,1.8288
The Iron Sheik,1.8288
Iron Sheik,1.8288
コシロ・バジリ,1.8288
The Iron Sheik,1.8288
The Iron Sheik,1.8288
The Iron Sheik,1.8288
Железный Шейх,1.8288
鋼鐵酋長,1.8288
Joseph Cabibbo,1.778
Joseph Cabibbo,1.778
The Sheik II,1.778
ذا أوسو,1.905
The Usos,1.905
The Usos,1.905
The Usos,1.905
The Usos,1.905
ウーソズ,1.905
The Usos,1.905
The Usos,1.905
The Usos,1.905
烏索兄弟,1.905
The Usos,1.905
Trinity (wrestler),1.6764
Trinity (wrestler),1.6764
Stephanie Finochio,1.6764
Stephanie Finochio,1.6764
تريش ستراتس,1.6256
Trish Stratus,1.6256
Trish Stratus,1.6256
Trish Stratus,1.6256
Trish Stratus,1.6256
Trish Stratus,1.6256
トリッシュ・ストラタス,1.6256
Trish Stratus,1.6256
Trish Stratus,1.6256
Trish Stratus,1.6256
"Стратус, Триш",1.6256
Tyson Dux,1.778
Tyson Dux,1.778
Yoshiaki Fujiwara,1.85
Yoshiaki Fujiwara,1.85
藤原喜明,1.85
Alere Little Feather,1.5748
Andrew Pendelton III,1.8288
Barry Hardy,1.8542
Becky Bayless,1.5748
Becky Bayless,1.5748
Billy Fives,1.8034
بايرون ساكستون,1.8542
Bryan Kelly,1.8542
Bryan Kelly,1.8542
Byron Saxton,1.8542
ブライアン・ケリー,1.8542
Bryan J. Kelly,1.8542
Byron Saxton,1.8542
Byron Saxton,1.8542
Carol Huynh,1.54
Carol Huynh,1.54
Carol Huynh,1.54
Carol Huynh,1.54
キャロル・ハイン,1.54
Carol Huynh,1.54
"Хвин, Кэрол",1.54
Carol Huynh,1.54
黃嘉露,1.54
Crystal Louthan,1.7018
Danny Havoc,1.8542
ダニー・ハボック,1.8542
Danny Havoc,1.8542
El Ligero,1.7018
フレッド・カリー,1.8034
Fred Curry (wrestler),1.8034
Fred Curry Jr.,1.8288
Ghasem Rezaei,1.83
Ghasem Rezaei,1.83
Ghasem Rezaei,1.83
ガセム・レザエイ,1.83
Ghasem Rezaji,1.83
Ghasem Rezaei,1.83
Ghasem Rezaei,1.83
"Резаи, Гасем",1.83
Gregg Groothuis,1.9558
حميد سوريان,1.69
Hamid Soryan Reihanpour,1.69
Hamid Sourian,1.69
Hamid Sourian,1.69
Hamid Sourian,1.69
ハミド・スーリヤン,1.69
Hamid Sourian,1.69
Hamid Sourian,1.69
Hamid Surijan,1.69
"Сориан, Хамид",1.69
Jade Chung,1.6764
Jade Chung,1.6764
Jemma Palmer,1.6764
Jemma Palmer,1.6764
Jessie Godderz,1.8034
Jessie Godderz,1.8034
Jessie Godderz,1.8034
ジェシー・ゴッダーズ,1.8034
Jessie Godderz,1.8034
Jessie Godderz,1.8034
Jessie Godderz,1.8034
Johnny Punch,1.8542
Jon Cutler (wrestler),1.905
ビクター・セロン,1.9304
Kafu,1.9304
Kafu,1.9304
キラー・ブルックス,1.8796
Killer Tim Brooks,1.8796
Akinori Tsukioka,1.82
くいしんぼう仮面,1.82
Kuishinbo Kamen,1.82
Nick Aldis,1.905
Nick Aldis,1.905
Magnus (wrestler),1.905
ニック・オールディス,1.905
Nick Aldis,1.905
Magnus (lutador),1.905
Magnus (wrestler),1.905
Mana the Polynesian Warrior,1.9304
Martin Berberian,1.6
"Берберян, Мартин Габриелович",1.6
Martin Berberyan,1.6
Marty Garner,1.8034
Marty Garner,1.8034
マット・リドル,1.8542
Matthew Riddle,1.8542
Matthew Riddle,1.8542
Max Damage,1.9558
スターバック,1.8
Michael Majalahti,1.8
Michael Majalahti,1.8
ミッキー・ナックルズ,1.6256
Mickie Knuckles,1.6256
Pat Buck,1.8288
Pat Buck,1.8288
Reckless Youth,1.7272
Robbie Dynamite,1.524
Robbie E,1.8034
Rob Strauss,1.8034
Rob Strauss,1.8034
ロバート・ストラウス,1.8034
Rob Strauss,1.8034
Robbie E,1.8034
Robbie E,1.8034
رايباك,1.905
Ryback (Wrestler),1.905
Ryback,1.905
Ryan Reeves,1.905
Ryback,1.905
ライアン・リーブス,1.905
Ryan Reeves,1.905
Ryback,1.905
Ryback,1.905
Райбэк,1.905
Ryback,1.905
萊鋇克,1.905
土方隆司,1.75
Ryuji Hijikata,1.75
Sarah Stock,1.6256
Sarah Stock,1.6256
Sarah Stock,1.6256
サラ・ストック,1.6256
Sarah Stock,1.6256
Sarah Stock,1.6256
Sarah Stock,1.6256
Sarah Stock,1.6256
Eddy Dorozowsky,1.8542
SeXXXy Eddy,1.8542
Shayne Hawke,1.7272
スーザン・セクストン,1.6764
Susan Sexton,1.6764
Tim Roberts,1.8796
Tommy Force,1.8288
Yusuf İsmail,1.8796
Bruno Sammartino,1.524
برونو سامارتينو,1.524
Bruno Sammartino,1.524
Bruno Sammartino,1.524
Bruno Sammartino,1.524
Bruno Sammartino,1.524
ブルーノ・サンマルチノ,1.524
Bruno Sammartino,1.524
Bruno Sammartino,1.524
Bruno Sammartino,1.524
"Саммартино, Бруно",1.524
布魯諾·山瑪提諾,1.524
George Hackenschmidt,1.75
Georg Hackenschmidt,1.75
Georg Hackenschmidt,1.75
Georg Hackenschmidt,1.75
Georg Hackenschmidt,1.75
ジョージ・ハッケンシュミット,1.75
Georg Hackenschmidt,1.75
Georg Hackenschmidt,1.75
"Гаккеншмидт, Георг",1.75
Jerry Tuite,2.0828
ジェリー・トゥーティ,2.0828
Jimmy Yang,1.7526
James Yun,1.7526
James Yun,1.7526
James Yun,1.7526
ジミー・ヤン,1.7526
James Yun,1.7526
James Yun,1.7526
Al Snow,1.8542
Allen Sarven,1.8542
Al Snow,1.8542
Allen Sarven,1.8542
Al Snow,1.8542
アル・スノー,1.8542
Al Snow,1.8542
Al Snow,1.8542
Эл Сноу,1.8542
艾爾·史諾,1.8542
Fred Ottman,1.905
Fred Ottman,1.905
Fred Ottman,1.905
Fred Ottman,1.905
フレッド・オットマン,1.905
Fred Ottman,1.905
Fred Ottman,1.905
مات مورغان,2.1336
Matt Morgan,2.1336
Matt Morgan,2.1336
Matt Morgan,2.1336
Matt Morgan,2.1336
Matt Morgan,2.1336
マット・モーガン,2.1336
Matt Morgan,2.1336
Matt Morgan,2.1336
クルト・フォン・ヘス,1.8796
Kurt Von Hess,1.8796
Adam Pearce,1.8796
Adam Pearce,1.8796
Adam Pearce,1.8796
アダム・ピアース,1.8796
Cody Michaels,1.8034
كوري جريفز,1.8542
Corey Graves,1.8542
Corey Graves,1.8542
Corey Graves,1.8542
Matt Polinsky,1.8542
マット・ポリンスキー,1.8542
Corey Graves,1.8542
Corey Graves,1.8542
蔻利·格瑞福斯,1.8542
D-Ray 3000,1.8034
D-レイ・3000,1.8034
Emmanuel Yarbrough,2.032
Emmanuel Yarborough,2.032
Emmanuel Yarborough,2.032
エマニュエル・ヤーブロー,2.032
Emmanuel Yarborough,2.032
Fray Tormenta,1.7
Fray Tormenta,1.7
Fray Tormenta,1.7
フライ・トルメンタ,1.7
Фрай Тормента,1.7
暴風修士,1.7
Hiro Saito,1.75
ヒロ斎藤,1.75
جاستين روبرتس,1.778
Justin Roberts,1.778
Justin Roberts,1.778
Justin Roberts,1.778
Justin Roberts,1.778
Justin Roberts,1.778
ジャスティン・ロバーツ,1.778
Justin Roberts,1.778
Justin Roberts,1.778
"Робертс, Джастин",1.778
賈斯汀·羅伯斯,1.778
Steven Carrasquillo,1.778
Monsta Mack,1.778
MsChif,1.7018
MsChif,1.7018
ミスシェフ,1.7018
MsChif,1.7018
Nick Mondo,1.8542
Nick Mondo,1.8542
Matt Burns,1.8542
ニック・モンド,1.8542
Nick Mondo,1.8542
Taro Miyake,1.7018
Taro Miyake,1.7018
Timothy Well,1.8034
Timothy Smith,1.8034
Tough Tom,1.8288
Trent Acid,1.8034
Trent Acid,1.8034
トレント・アシッド,1.8034
Trent Acid,1.8034
Ángel Acevedo,1.7018
キューバン・アサシン,1.7018
Ángel Acevedo,1.7018
إيه جاي لي,1.5748
AJ Lee,1.5748
April Jeanette,1.5748
AJ Lee,1.5748
AJ Lee,1.5748
エイプリル・ジャネット,1.5748
AJ Lee,1.5748
AJ Lee,1.5748
AJ Lee,1.5748
Эй Джей,1.5748
AJ·李,1.5748
AJ Lee,1.5748
أليكس رايلي,1.8796
Kevin Kiley,1.8796
Alex Riley,1.8796
Alex Riley,1.8796
アレックス・ライリー,1.8796
Kevin Kiley Jr.,1.8796
Alex Riley,1.8796
Алекс Райли,1.8796
Alex Riley,1.8796
بيج إي,1.8034
Big E,1.8034
Big E,1.8034
Big E Langston,1.8034
Big E,1.8034
エットレ・ユエン,1.8034
Ettore Ewen,1.8034
Big E,1.8034
Big E Langston,1.8034
Биг И,1.8034
Big E·蘭斯頓,1.8034
Big E (wrestler),1.8034
دين أمبروز,1.9558
Dean Ambrose,1.9558
Dean Ambrose,1.9558
Dean Ambrose,1.9558
Dean Ambrose,1.9558
ジョナサン・グッド,1.9558
Jonathan Good,1.9558
Dean Ambrose,1.9558
Dean Ambrose,1.9558
Дин Эмброус,1.9558
迪恩·安布羅斯,1.9558
Dean Ambrose,1.9558
جيندر ماهال,1.9558
Raj Dhesi,1.9558
Jinder Mahal,1.9558
Jinder Mahal,1.9558
ユブラジ・デッシィ,1.9558
Yuvraj Dhesi,1.9558
Jinder Mahal,1.9558
Джиндер Махал,1.9558
Jinder Mahal,1.9558
مايكل تارفير,1.8796
Michael Tarver,1.8796
Tyrone Evans,1.8796
Michael Tarver,1.8796
タイロン・エヴァンス,1.8796
Tyrone Evans,1.8796
Michael Tarver,1.8796
Tyrone Evans,1.8796
Майкл Тарвер,1.8796
Michael Tarver,1.8796
روزا مينديز,1.7526
Rosa Mendes,1.7526
Rosa Mendes,1.7526
Milena Roucka,1.7526
ミレーナ・ルッカ,1.7526
Rosa Mendes,1.7526
Rosa Mendes,1.7526
Rosa Mendes,1.7526
Роза Мендес,1.7526
تايلر ريكس,1.8669
Gabriel Tuft,1.8669
Gabriel Tuft,1.8669
Tyler Reks,1.8669
ガブリエル・タフト,1.8669
Tyler Reks,1.8669
Tyler Reks,1.8669
Тайлер Рекс,1.8669
Tyler Reks,1.8669
تايلر ريكس,1.9558
Gabriel Tuft,1.9558
Gabriel Tuft,1.9558
Tyler Reks,1.9558
ガブリエル・タフト,1.9558
Tyler Reks,1.9558
Tyler Reks,1.9558
Тайлер Рекс,1.9558
Tyler Reks,1.9558
زاك رايدر,1.8796
Zack Ryder,1.8796
Zack Ryder,1.8796
Matthew Cardona,1.8796
Zack Ryder,1.8796
ザック・ライダー,1.8796
Zack Ryder,1.8796
Zack Ryder,1.8796
Zack Ryder,1.8796
Zack Ryder,1.8796
Зак Райдер,1.8796
塞克·萊德,1.8796
Olexandr Koltschynskyj,1.93
Oleksandr Kolchynskyy,1.93
Aleksandr Kolczinski,1.93
"Колчинский, Александр Леонидович",1.93
Aleksandr Kolchinsky,1.93
Anatoli Iwanowitsch Parfenow,1.9
"Парфёнов, Анатолий Иванович",1.9
Anatoly Parfyonov,1.9
Giwi Kartosia,1.76
Giwi Kartozia,1.76
"Картозия, Гиви Александрович",1.76
Givi Kartozia,1.76
Nikolai Fjodorowitsch Balboschin,1.88
Nikolay Balboshin,1.88
"Балбошин, Николай Фёдорович",1.88
Nikolay Balboshin,1.88
Osman Duraliew,1.85
Osman Duraliev,1.85
"Дуралиев, Осман",1.85
Osman Duraliev,1.85
Per Svensson,1.88
Pelle Svensson,1.88
Pelle Svensson,1.88
"Свенссон, Пер",1.88
Roman Codreanu,1.94
Roman Codreanu,1.94
Roman Codreanu,1.94
"Кодряну, Роман",1.94
Roman Codreanu,1.94
Roman Rurua,1.65
Roman Rurua,1.65
"Руруа, Роман Владимирович",1.65
Roman Rurua,1.65
Rune Jansson,1.77
Rune Jansson,1.77
Rune Jansson,1.77
Rune Jansson,1.77
"Янссон, Руне",1.77
Rune Jansson,1.77
Thomas Zander,1.76
Thomas Zander,1.76
Thomas Zander,1.76
Thomas Zander,1.76
Thomas Zander,1.76
Waleri Grigorjewitsch Resanzew,1.79
Valeriy Rezantsev,1.79
Walerij Riezancew,1.79
"Резанцев, Валерий Григорьевич",1.79
Valery Rezantsev,1.79
Vasile Pușcașu,1.85
Vasile Pușcașu,1.85
Vasile Pușcașu,1.85
Vasile Pușcașu,1.85
Vasile Pușcașu,1.85
"Пушкашу, Василе",1.85
Viking Palm,1.81
Viking Palm,1.81
Viking Palm,1.81
Viking Palm,1.81
Viking Palm,1.81
"Пальм, Викинг",1.81
Viking Palm,1.81
